[(p1,24)]
(y7,92)
(y6,85)
(y1,36)
(y8,75)
(y3,30)
(y4,88)
(y2,76)
(z4,86)
(z5,0)
(z8,49)
(z1,48)
(z9,98)
(z3,23)
(z2,49)
(z0,2)
(z7,82)
(a1,3)
(a0,59)
(a2,33)
(a7,7)
(a6,67)
(a5,34)
(a9,29)
(a8,93)
(b0,4)
(b1,48)
(b4,85)
(b6,66)
(b9,30)
(b8,24)
(b2,60)
(b7,55)
(b5,17)
(b3,71)
(c4,59)
(c1,34)
(c2,84)
(c3,43)
(c9,31)
(c6,0)
(c8,34)
(c7,85)
(c0,5)
(d3,11)
(d7,86)
(d0,95)
(d9,45)
(d6,86)
(d5,13)
(d4,44)
(e6,41)
(e5,36)
(e8,73)
(e2,77)
(e1,78)
(f5,26)
(f2,92)
(f9,65)
(f8,60)
(f3,47)
(f7,69)
(f4,8)
(g8,17)
(g6,91)
(g9,36)
(g1,55)
(g7,52)
(g2,89)
(h4,61)
(h0,3)
(h5,86)
(h3,1)
(h6,51)
(h8,68)
(h7,22)
(h9,87)
(h2,69)
(i4,46)
(i5,14)
(i0,100)
(i2,52)
(i7,31)
(i6,56)
(i8,43)
(i1,18)
(i9,47)
(j9,20)
(j1,95)
(j0,88)
(j5,91)
(j7,53)
(j4,25)
(j8,2)
(k5,48)
(k6,70)
(k2,39)
(k8,78)
(k7,52)
(k9,73)
(k4,72)
(l0,69)
(l7,95)
(l8,88)
(l4,25)
(l9,90)
(l3,94)
(l1,59)
(l5,91)
(m7,49)
(m8,43)
(m2,74)
(m5,49)
(m4,49)
(m3,29)
(m9,59)
(m0,90)
(n9,79)
(n4,60)
(n7,43)
(n2,41)
(n6,81)
(n0,51)
(n5,37)
(n1,26)
(n8,34)
(o0,56)
(o1,6)
(o5,43)
(o7,20)
(o9,7)
(o3,54)
(o4,6)
(o2,70)
(o6,89)
(p2,74)
(p4,88)
(p6,41)
(p8,2)
(p3,79)
(p0,18)
(p9,70)
(p1,34)
(p7,40)
(p5,89)
(q0,42)
(q4,56)
(q1,11)
(q8,92)
(q2,10)
(q5,8)
(r3,22)
(r6,79)
(r4,68)
(r0,53)
(r5,41)
(r9,71)
(s1,50)
(s0,73)
(s5,42)
(s9,48)
(s7,99)
(s4,94)
(t4,60)
(t7,63)
(t9,22)
(t6,32)
(t8,57)
(t0,70)
(t1,80)
(t2,18)
(t5,80)
(u7,48)
(u6,46)
(u1,34)
(u4,21)
(u5,5)
(u3,51)
(u9,78)
(v2,61)
(v5,71)
(v8,72)
(v6,51)
(v4,86)
(w3,76)
(w7,75)
(w8,53)
(w6,39)
(w0,11)
(w2,24)
(w9,86)
(x5,88)
(x8,41)
(x1,3)
(x3,7)
(x7,76)
(x6,27)
(x2,47)
(y7,92)
(y6,85)
(y1,36)
(y8,75)
(y3,30)
(y4,88)
(y2,76)
(z4,86)
(z5,0)
(z8,49)
(z1,48)
(z9,98)
(z3,23)
(z2,49)
(z0,2)
(z7,82)
Waiting...
[(p2,22)]
(a9,87)
(a7,28)
(a0,10)
(a6,35)
(a3,6)
(a1,45)
(a4,34)
(a2,95)
(b9,10)
(b2,100)
(b4,85)
(b3,23)
(b6,8)
(b7,70)
(b0,47)
(b5,61)
(c9,35)
(c6,65)
(c5,0)
(c0,13)
(c7,41)
(c4,18)
(c1,94)
(c3,73)
(c8,71)
(d2,9)
(d1,96)
(d9,80)
(d4,90)
(d3,74)
(d6,17)
(d5,52)
(e9,97)
(e2,28)
(e4,85)
(e8,32)
(e0,10)
(e7,38)
(e3,90)
(e5,45)
(e1,38)
(f1,20)
(f7,99)
(f6,54)
(f0,6)
(f2,18)
(f8,49)
(f3,21)
(f4,29)
(g0,61)
(g8,53)
(g2,17)
(g5,67)
(g3,40)
(g9,62)
(g1,68)
(g7,0)
(h3,76)
(h4,90)
(h6,10)
(h7,20)
(h1,40)
(h0,44)
(h2,0)
(i7,54)
(i6,61)
(i3,36)
(i5,5)
(i0,84)
(i2,3)
(i1,9)
(i9,72)
(j5,79)
(j9,75)
(j7,72)
(j0,53)
(j6,25)
(j2,69)
(j3,53)
(j4,63)
(k9,23)
(k2,29)
(k0,49)
(k4,66)
(k7,8)
(k3,15)
(k5,31)
(k6,11)
(k8,54)
(l9,57)
(l5,14)
(l4,69)
(l6,91)
(l0,82)
(l1,8)
(m7,64)
(m2,75)
(m6,30)
(m3,8)
(m4,71)
(m8,92)
(m0,77)
(n4,98)
(n1,2)
(n3,24)
(n9,52)
(n7,34)
(n2,83)
(n6,80)
(n0,70)
(n5,39)
(n8,50)
(o9,51)
(o6,16)
(o0,91)
(o8,0)
(o3,11)
(p9,80)
(p5,21)
(p4,59)
(p6,14)
(p8,11)
(p2,22)
(p3,44)
(p0,8)
(p1,60)
(q7,61)
(q9,2)
(q1,42)
(q0,17)
(q4,36)
(q8,0)
(q2,28)
(q5,90)
(r8,93)
(r2,0)
(r9,76)
(r7,80)
(r6,37)
(r0,84)
(r5,6)
(s7,88)
(s8,84)
(s2,52)
(s6,49)
(s5,44)
(s3,39)
(s1,41)
(s9,38)
(s4,62)
(t2,25)
(t5,94)
(t1,27)
(t4,82)
(t8,56)
(t7,37)
(t9,100)
(t3,49)
(u8,76)
(u5,32)
(u4,76)
(u0,55)
(u7,75)
(u6,4)
(u3,24)
(u9,73)
(v3,32)
(v9,23)
(v6,66)
(v1,72)
(v0,76)
(v8,100)
(v5,81)
(w3,56)
(w9,44)
(w4,90)
(w5,36)
(w7,12)
(w8,57)
(w0,46)
(w2,17)
(x9,29)
(x2,93)
(x8,26)
(x4,51)
(x1,15)
(x0,61)
(x3,43)
(y9,85)
(y1,83)
(y6,40)
(y2,84)
(y5,69)
(y3,39)
(y7,97)
(y8,93)
(y4,51)
(z2,54)
(z7,72)
(z9,64)
(z8,67)
(z5,48)
(z0,45)
[(p2,22)]
[(a0,10)]
[(b8,KVSMISSING)]
[(q2,28)]
[(p3,44)]
[(l8,64)]
Waiting...
