[(u0,48)]
(p3,44)
(p1,60)
(q6,77)
(q3,43)
(q7,41)
(q9,14)
(q1,42)
(q0,17)
(q4,36)
(q8,0)
(q2,58)
(r3,19)
(r4,53)
(r1,66)
(r8,93)
(r2,40)
(r9,68)
(r7,80)
(r6,77)
(r0,84)
(s2,17)
(s7,28)
(s8,84)
(s6,49)
(s5,44)
(s3,39)
(s1,81)
(s9,38)
(s4,27)
(t2,2)
(t9,93)
(t5,16)
(t1,27)
(t4,22)
(t8,56)
(t7,37)
(u2,21)
(u1,57)
(u5,35)
(u8,80)
(u4,51)
(u0,48)
(u7,52)
(u6,4)
(u3,24)
(u9,73)
(v4,99)
(v7,21)
(v3,32)
(v9,23)
(v6,66)
(v1,72)
(v0,28)
(v8,100)
(v5,81)
(w6,20)
(w3,56)
(w9,44)
(w4,95)
(w7,12)
(w2,98)
(x6,64)
(x7,85)
(x5,93)
(x2,16)
(x8,26)
(x4,46)
(x1,2)
(x0,9)
(x3,43)
(y9,49)
(y1,67)
(y6,8)
(y5,69)
(y3,39)
(y7,74)
(y8,99)
(z1,95)
(z2,54)
(z7,72)
(z9,15)
(z5,95)
(z0,19)
[(h4,8)]
Waiting...
[(b6,77)]
[(q8,35)]
