[(k7,58)]
(r9,68)
(r7,80)
(r6,77)
(s2,17)
(s7,28)
(s8,84)
(s6,49)
(s5,37)
(s3,39)
(s1,81)
(s9,34)
(s4,27)
(t3,31)
(t2,2)
(t9,42)
(t1,27)
(t4,22)
(t8,56)
(t7,37)
(u2,21)
(u1,86)
(u5,35)
(u8,80)
(u4,51)
(u0,48)
(u7,52)
(u6,4)
(u3,24)
(u9,73)
(v2,20)
(v3,32)
(v9,23)
(v1,72)
(v8,100)
(v5,81)
(w0,16)
(w8,18)
(w6,84)
(w3,56)
(w9,44)
(w4,95)
(w7,12)
(x6,64)
(x7,85)
(x2,16)
(x8,26)
(x1,64)
(x0,9)
(x3,43)
(y9,49)
(y1,67)
(y6,8)
(y5,69)
(y3,39)
(y7,74)
(y8,99)
(z4,45)
(z1,95)
(z2,54)
(z7,40)
(z9,15)
(z5,95)
(z0,85)
[(k2,56)]
[(v3,46)]
Waiting...
[(l5,KVSMISSING)]
Waiting...
[(z4,KVSMISSING)]
[(w4,66)]
Waiting...
[(g9,4)]
[(c2,2)]
[(e1,38)]
(a6,80)
(a9,52)
(a1,18)
(a8,3)
(a4,74)
(b8,99)
(b3,67)
(b4,89)
(c3,14)
(c2,2)
(c7,18)
(c4,50)
(c1,65)
(c5,90)
(c0,34)
(d1,0)
(d4,75)
(d5,57)
(d2,50)
(d7,9)
(d8,90)
(d9,77)
(d6,22)
(e7,53)
(e8,82)
(e9,39)
(e4,92)
(e1,38)
(e6,56)
(e2,56)
(e3,94)
(e5,48)
(e0,14)
(f7,5)
(f9,51)
(f2,62)
(f3,60)
(f5,11)
(f8,27)
(f6,63)
(g7,28)
(g9,4)
(g1,98)
(g4,0)
(g0,93)
(g8,39)
(g3,95)
(g2,37)
(h3,15)
(h5,86)
(h4,25)
(h8,50)
(h9,100)
(h0,55)
(h7,97)
(h1,7)
(i3,43)
(i8,85)
(i4,83)
(i9,76)
(i0,76)
(i2,15)
(i5,23)
(i1,41)
(j3,72)
(j8,81)
(j2,36)
(j1,46)
(j7,81)
(j5,61)
(k6,20)
(k2,97)
(k1,100)
(k3,6)
(k8,85)
(k5,86)
(k0,49)
(l7,72)
(m9,92)
(m2,42)
(m1,46)
(m4,63)
(n7,60)
(n0,10)
(n1,51)
(n6,55)
(n9,74)
(n8,81)
(n4,67)
(o6,51)
(o0,70)
(o1,35)
(o4,14)
(o8,94)
(o9,60)
(o2,76)
(p2,53)
(p3,44)
(p9,86)
(p0,46)
(p4,75)
(p8,2)
(p1,62)
(p7,63)
(q7,5)
(q5,36)
(q9,13)
(q3,69)
(q8,26)
(q4,39)
(r2,91)
(r1,78)
(r9,36)
(r6,33)
(r7,26)
(r8,15)
(r5,28)
(r4,17)
(s9,13)
(s3,95)
(s7,24)
(s8,88)
(s5,74)
(s6,17)
(s4,96)
(t0,90)
(t9,73)
(t1,30)
(t8,73)
(t3,87)
(t5,56)
(t7,89)
(u9,15)
(u1,57)
(u3,81)
(u8,93)
(u2,24)
(u4,28)
(u0,70)
(v2,100)
(v4,69)
(v3,87)
(v6,78)
(v8,11)
(v0,32)
(v5,69)
(v1,46)
(w0,60)
(w7,45)
(w6,21)
(w4,12)
(w3,33)
(w9,55)
(x6,73)
(x9,65)
(x0,16)
(x8,7)
(x1,36)
(x7,38)
(x3,65)
(y2,97)
(y0,57)
(y5,81)
(y3,47)
(y4,5)
(y8,48)
(z3,70)
(z2,43)
(z4,57)
(z9,79)
(z0,89)
(z6,45)
(z5,29)
(z7,18)
[(y0,57)]
[(d0,KVSMISSING)]
[(o4,14)]
(a6,80)
(a9,52)
(a1,18)
(a8,3)
(a4,74)
(b8,99)
(b3,67)
(b4,89)
(c3,14)
(c2,2)
(c7,18)
(c4,50)
(c1,65)
(c5,90)
(c0,34)
(d1,0)
(d4,75)
(d5,57)
(d2,50)
(d7,9)
(d8,90)
(d9,77)
(d6,22)
(e7,53)
(e8,82)
(e9,39)
(e4,92)
(e1,38)
(e6,56)
(e2,56)
(e3,94)
(e5,48)
(e0,14)
(f7,5)
(f9,51)
(f2,62)
(f3,60)
(f5,11)
(f8,27)
(g7,28)
(g9,4)
(g1,98)
(g4,0)
(g0,93)
(g3,95)
(g2,37)
(h3,15)
(h5,86)
(h4,25)
(h8,50)
(h9,100)
(h0,55)
(h7,97)
(h1,7)
(i8,85)
(i4,83)
(i9,76)
(i0,76)
(i2,15)
(i5,23)
(i1,41)
(j3,72)
(j8,81)
(j2,36)
(j1,98)
(j7,81)
(j5,61)
(k6,20)
(k2,97)
(k1,100)
(k3,6)
(k8,85)
(k5,86)
(k0,49)
(l9,91)
(l1,9)
(m2,42)
(m1,46)
(m4,63)
(n7,60)
(n0,10)
(n6,55)
(n9,74)
(n8,81)
(n4,67)
(o6,51)
(o0,70)
(o1,35)
(o4,14)
(o8,94)
(o9,60)
(o2,76)
(p2,53)
(p3,44)
(p9,86)
(p0,46)
(p4,75)
(p8,2)
(p1,62)
(p7,63)
(q7,5)
(q5,36)
(q9,13)
(q3,69)
(q8,26)
(q4,39)
(r3,31)
(r1,78)
(r9,65)
(r6,35)
(r7,26)
(r8,15)
(r5,28)
(r4,17)
(s3,95)
(s7,35)
(s8,88)
(s5,74)
(s6,17)
(s4,96)
(t0,90)
(t9,73)
(t1,30)
(t8,73)
(t3,46)
(t5,56)
(t7,89)
(u9,15)
(u1,57)
(u3,81)
(u8,93)
(u2,24)
(u4,28)
(u0,70)
(v2,100)
(v4,69)
(v3,87)
(v6,78)
(v8,11)
(v0,32)
(v5,69)
(v1,46)
(w0,60)
(w7,45)
(w6,21)
(w4,12)
(w3,33)
(w9,55)
(x6,73)
(x9,65)
(x0,16)
(x8,7)
(x1,36)
(x7,38)
(x3,65)
(y2,97)
(y5,81)
(y3,3)
(y4,5)
(y8,48)
(z8,72)
(z3,70)
(z2,43)
(z4,57)
(z9,79)
(z0,80)
(z6,45)
(z5,29)
(z7,18)
Waiting...
[(i1,93)]
[(z0,KVSMISSING)]
[(d1,KVSERROR)]
[(w3,KVSMISSING)]
(a7,39)
(a6,54)
(a0,84)
(a9,65)
(a4,74)
(b3,4)
(b5,39)
(b9,6)
(b2,16)
(b4,30)
(b7,75)
(b1,82)
(b6,43)
(c0,16)
(c9,97)
(c7,31)
(c6,11)
(c8,8)
(c4,2)
(c5,47)
(d5,29)
(d0,28)
(d4,91)
(d7,9)
(e2,12)
(e4,73)
(e5,30)
(e3,0)
(e0,35)
(e8,82)
(e6,10)
(f9,45)
(f6,22)
(f7,22)
(f3,41)
(f1,38)
(f0,96)
(f8,9)
(f4,9)
(f5,2)
(g0,95)
(g3,90)
(g7,29)
(g8,60)
(g4,21)
(g5,13)
(g2,61)
(h5,45)
(h1,51)
(h3,77)
(h9,54)
(h0,95)
(h2,28)
(h6,58)
(h4,100)
(h8,34)
(i3,80)
(i2,94)
(i7,87)
(i1,93)
(i6,82)
(i8,81)
(i4,14)
(i0,51)
(j6,50)
(j0,92)
(j3,70)
(j1,98)
(j5,91)
(k1,95)
(k0,12)
(k6,73)
(k9,82)
(k4,46)
(l6,24)
(l5,24)
(l4,77)
(l0,82)
(l8,32)
(l1,29)
(l2,6)
(l9,67)
(m4,40)
(m6,84)
(m2,77)
(m8,90)
(m1,34)
(m0,92)
(m5,26)
(m7,32)
(m9,66)
(n3,52)
(n2,86)
(n4,59)
(n1,15)
(n0,1)
(n7,28)
(n6,84)
(n9,4)
(n8,40)
(o5,32)
(o3,10)
(o7,13)
(o0,88)
(o6,46)
(o1,23)
(o4,58)
(o9,74)
(p3,50)
(p5,53)
(p9,3)
(p4,81)
(p8,97)
(p1,30)
(q2,12)
(q8,32)
(q6,17)
(q0,50)
(q1,1)
(q9,53)
(q4,84)
(r8,45)
(r3,14)
(r7,23)
(r5,74)
(s0,58)
(s7,65)
(s8,28)
(s5,12)
(s1,88)
(s6,89)
(t5,86)
(t3,2)
(t1,96)
(t4,29)
(t2,21)
(t0,8)
(t9,14)
(u7,50)
(u1,45)
(u3,31)
(u6,36)
(u9,92)
(u2,82)
(u4,81)
(u0,87)
(v6,9)
(v2,84)
(v7,19)
(v3,77)
(v0,90)
(v5,39)
(w1,35)
(w5,69)
(w2,51)
(w6,37)
(w0,82)
(w8,87)
(w7,18)
(w9,48)
(x4,57)
(x6,34)
(x5,65)
(x0,90)
(x2,47)
(x1,88)
(y1,77)
(y0,29)
(y5,42)
(y7,30)
(y9,82)
(y3,27)
(y4,46)
(z9,78)
(z4,22)
(z1,61)
(z7,81)
(z6,61)
(a7,39)
(a6,54)
(a0,84)
(a9,65)
(a4,74)
(b3,4)
(b5,39)
(b9,6)
(b2,16)
(b4,30)
(b7,75)
(b1,82)
(b6,43)
(c0,16)
(c9,97)
(c7,31)
(c6,11)
(c8,8)
(c4,2)
(c5,47)
(d5,29)
(d0,28)
(d4,91)
(d7,9)
(e2,12)
(e4,73)
(e5,30)
(e3,0)
(e0,35)
(e8,82)
(e6,10)
(f9,45)
(f6,22)
(f7,22)
(f3,41)
(f1,38)
(f0,96)
(f8,9)
(f4,9)
(f5,2)
(g0,95)
(g3,90)
(g7,29)
(g8,60)
(g4,21)
(g5,13)
(g2,61)
(h5,45)
(h1,51)
(h3,77)
(h9,54)
(h0,95)
(h2,28)
(h6,58)
(h4,100)
(h8,34)
(i3,80)
(i2,94)
(i7,87)
(i1,93)
(i6,82)
(i8,81)
(i4,14)
(i0,51)
(j6,50)
(j0,92)
(j3,70)
(j1,98)
(j5,91)
(k1,95)
(k0,12)
(k6,73)
(k9,82)
(k4,46)
(l6,24)
(l5,24)
(l4,77)
(l0,82)
(l8,32)
(l1,29)
(l2,6)
(l9,67)
(m4,40)
(m6,84)
(m2,77)
(m8,90)
(m1,34)
(m0,92)
(m5,26)
(m7,32)
(m9,66)
(n3,52)
(n2,86)
(n4,59)
(n1,15)
(n0,1)
(n7,28)
(n6,84)
(n9,4)
(n8,40)
(o5,32)
(o3,10)
(o7,13)
(o0,88)
(o6,46)
(o1,23)
(o4,58)
(o9,74)
(p3,50)
(p5,53)
(p9,3)
(p4,81)
(p8,97)
(p1,30)
(q2,12)
(q8,32)
(q6,17)
(q0,50)
(q1,1)
(q9,53)
(q4,84)
(r8,45)
(r3,14)
(r7,23)
(r5,74)
(s0,58)
(s7,65)
(s8,28)
(s5,12)
(s1,88)
(s6,89)
(t5,86)
(t3,2)
(t1,96)
(t4,29)
(t2,21)
(t0,8)
(t9,14)
(u7,50)
(u1,45)
(u3,31)
(u6,36)
(u9,92)
(u2,82)
(u4,81)
(u0,87)
(v6,9)
(v2,84)
(v7,19)
(v3,77)
(v0,90)
(v5,39)
(w1,35)
(w5,69)
(w2,51)
(w6,37)
(w0,82)
(w8,87)
(w7,18)
(w9,48)
(x4,57)
(x6,34)
(x5,65)
(x0,90)
(x2,47)
(x1,88)
(y1,77)
(y0,29)
(y5,42)
(y7,30)
(y9,82)
(y3,27)
(y4,46)
(z9,78)
(z4,22)
(z1,61)
(z7,81)
(z6,61)
[(k1,95)]
(a7,39)
(a6,54)
(a0,84)
(a9,65)
(a4,74)
(b3,4)
(b5,39)
(b9,6)
(b2,16)
(b4,30)
(b7,75)
(b1,82)
(b6,43)
(c0,16)
(c9,97)
(c7,31)
(c6,11)
(c8,8)
(c4,2)
(c5,47)
(d5,29)
(d0,28)
(d4,91)
(d7,9)
(e2,12)
(e4,73)
(e5,30)
(e3,0)
(e0,35)
(e8,82)
(e6,10)
(f9,45)
(f6,22)
(f7,22)
(f3,41)
(f1,38)
(f0,96)
(f8,9)
(f4,9)
(f5,2)
(g0,95)
(g3,90)
(g7,29)
(g8,60)
(g4,21)
(g5,13)
(g2,61)
(h5,45)
(h1,51)
(h3,77)
(h9,54)
(h0,95)
(h2,28)
(h6,58)
(h4,100)
(h8,34)
(i3,80)
(i2,94)
(i7,87)
(i1,93)
(i6,82)
(i8,81)
(i4,14)
(i0,51)
(j6,50)
(j0,92)
(j3,70)
(j1,98)
(j5,91)
(k1,95)
(k0,12)
(k6,73)
(k9,82)
(k4,46)
(l6,24)
(l5,24)
(l4,77)
(l0,82)
(l8,32)
(l1,29)
(l2,6)
(l9,67)
(m4,40)
(m6,84)
(m2,77)
(m8,90)
(m1,34)
(m0,92)
(m5,26)
(m7,32)
(m9,66)
(n3,52)
(n2,86)
(n4,59)
(n1,15)
(n0,1)
(n7,28)
(n6,84)
(n9,4)
(n8,40)
(o5,32)
(o3,10)
(o7,13)
(o0,88)
(o6,46)
(o1,23)
(o4,58)
(o9,74)
(p3,50)
(p5,53)
(p9,3)
(p4,81)
(p8,97)
(p1,30)
(q2,12)
(q8,32)
(q6,17)
(q0,50)
(q1,1)
(q9,53)
(q4,84)
(r8,45)
(r3,14)
(r7,23)
(r5,74)
(s0,58)
(s7,65)
(s8,28)
(s5,12)
(s1,88)
(s6,89)
(t5,86)
(t3,2)
(t1,96)
(t4,29)
(t2,21)
(t0,8)
(t9,14)
(u7,50)
(u1,45)
(u3,31)
(u6,36)
(u9,92)
(u2,82)
(u4,81)
(u0,87)
(v6,9)
(v2,84)
(v7,19)
(v3,77)
(v0,90)
(v5,39)
(w1,35)
(w5,69)
(w2,51)
(w6,37)
(w0,82)
(w8,87)
(w7,18)
(w9,48)
(x4,57)
(x6,34)
(x5,65)
(x2,47)
(x1,88)
(y1,77)
(y0,29)
(y5,42)
(y7,30)
(y9,82)
(y3,27)
(y4,46)
(z9,78)
(z4,22)
(z1,61)
(z7,81)
(z6,61)
[(j6,50)]
[(b2,45)]
