[(j3,88)]
(v4,14)
(v0,28)
(v5,2)
(w6,0)
(w5,93)
(w4,88)
(w0,23)
(w1,47)
(w2,58)
(w9,86)
(x5,98)
(x9,59)
(x0,20)
(x3,17)
(x1,49)
(x6,27)
(x8,48)
(x4,1)
(x2,1)
(y0,31)
(y6,39)
(y1,61)
(y8,69)
(y3,23)
(y4,96)
(y9,60)
(y7,17)
(y2,7)
(z4,2)
(z3,80)
(z2,49)
(z0,18)
(z7,93)
(z9,72)
Waiting...
Waiting...
[(a5,KVSERROR)]
[(u2,98)]
[(b2,KVSERROR)]
[(g5,67)]
[(u5,KVSMISSING)]
(a3,20)
(a1,86)
(a4,79)
(a9,16)
(a2,74)
(a6,67)
(b6,76)
(b0,87)
(b8,59)
(b5,21)
(c2,76)
(c7,83)
(c4,59)
(c1,94)
(c3,43)
(c9,41)
(c6,66)
(c8,34)
(d7,36)
(d4,90)
(d2,61)
(d3,18)
(d6,17)
(d5,92)
(e4,32)
(e8,32)
(e0,10)
(e9,1)
(e7,99)
(e3,17)
(e5,45)
(e2,69)
(e1,10)
(f1,87)
(f7,46)
(f6,54)
(f0,6)
(f5,26)
(f2,53)
(f9,65)
(f8,7)
(f3,47)
(f4,32)
(g6,38)
(g2,20)
(g0,43)
(g5,67)
(g3,53)
(g4,65)
(g8,56)
(g9,89)
(g1,13)
(g7,52)
(h6,67)
(h7,81)
(h9,40)
(h1,3)
(h4,80)
(h0,44)
(h3,5)
(h2,63)
(i3,67)
(i7,64)
(i4,33)
(i5,1)
(i0,84)
(i2,35)
(i8,73)
(i1,8)
(i9,97)
(j8,25)
(j6,25)
(j2,92)
(j0,79)
(j3,53)
(j4,56)
(k3,26)
(k1,92)
(k5,65)
(k6,51)
(k8,77)
(k9,4)
(l3,36)
(l4,87)
(l6,91)
(l0,63)
(l7,21)
(l8,88)
(l1,8)
(m4,41)
(m1,53)
(m6,68)
(m8,100)
(m2,60)
(m3,21)
(m9,59)
(m0,97)
(n3,49)
(n9,52)
(n7,34)
(n2,49)
(n6,97)
(n0,51)
(n5,39)
(n8,26)
(o0,78)
(o7,17)
(o8,0)
(o1,22)
(o5,95)
(o9,0)
(o3,11)
(o4,6)
(o6,35)
(p5,62)
(p2,90)
(p4,60)
(p3,100)
(p0,31)
(p1,60)
(q6,27)
(q9,98)
(q0,53)
(q4,44)
(q8,95)
(q2,10)
(q5,90)
(r2,29)
(r9,32)
(r8,94)
(r7,74)
(r1,86)
(r3,44)
(r6,23)
(r4,16)
(r0,84)
(r5,6)
(s6,42)
(s3,38)
(s1,41)
(s0,73)
(s5,42)
(s9,70)
(s7,91)
(s4,13)
(t2,41)
(t4,93)
(t9,77)
(t3,53)
(t6,14)
(u2,98)
(u0,57)
(u7,72)
(u6,76)
(u3,72)
(u9,87)
(v0,49)
(v8,100)
(v2,75)
(v5,71)
(w9,82)
(w4,52)
(w5,36)
(w7,83)
(w8,58)
(w6,55)
(w0,98)
(w2,35)
(x1,15)
(x8,95)
(x0,96)
(x5,88)
(x3,54)
(x6,50)
(x2,49)
(y0,100)
(y3,9)
(y7,47)
(y1,53)
(y8,93)
(y4,78)
(y2,3)
(z8,71)
(z6,46)
(z1,45)
(z4,89)
(z7,100)
(z5,51)
(z3,72)
(z2,92)
(z0,45)
[(j5,KVSMISSING)(i6,KVSMISSING)]
[(y1,53)]
Waiting...
[(g9,62)]
[(d7,KVSERROR)]
[(o2,KVSMISSING)]
[(v2,KVSMISSING)(u2,KVSMISSING)]
(a5,83)
(a9,87)
(a0,10)
(a6,64)
(a1,45)
(a4,34)
(a2,95)
(b1,5)
(b9,23)
(b4,79)
(b3,23)
(b6,8)
(b7,87)
(b0,47)
(b5,61)
(c2,59)
(c9,35)
(c5,34)
(c0,96)
(c7,41)
(c4,60)
(c1,94)
(c3,53)
(c8,86)
(d2,9)
(d1,96)
(d9,41)
(d4,90)
(d3,74)
(d6,13)
(d5,52)
(e8,68)
(e9,97)
(e2,67)
(e4,85)
(e0,25)
(e7,97)
(e3,96)
(e5,45)
(e1,38)
(f5,18)
(f1,20)
(f7,99)
(f6,54)
(f0,6)
(f8,49)
(f3,26)
(f4,75)
(g8,2)
(g2,17)
(g5,67)
(g3,40)
(g9,62)
(g1,7)
(g7,0)
(h5,47)
(h3,76)
(h6,10)
(h7,20)
(h1,40)
(h0,44)
(h2,0)
(i7,10)
(i6,61)
(i3,18)
(i5,5)
(i2,3)
(i1,74)
(i9,26)
(j1,78)
(j5,26)
(j9,75)
(j7,93)
(j0,53)
(j6,25)
(j2,69)
(j3,29)
(j4,63)
(k9,23)
(k2,29)
(k0,49)
(k4,66)
(k3,15)
(k5,31)
(k6,11)
(k8,54)
(l7,79)
(l3,5)
(l8,64)
(l9,36)
(l4,34)
(l6,91)
(l0,82)
(l1,8)
(m5,28)
(m7,64)
(m2,16)
(m3,8)
(m4,71)
(m8,92)
(m0,58)
(n4,98)
(n1,2)
(n3,24)
(n7,34)
(n2,43)
(n6,80)
(n0,70)
(n5,3)
(n8,52)
(o9,76)
(o6,40)
(o0,91)
(o8,0)
(o3,45)
(p0,94)
(p9,81)
(p5,41)
(p4,59)
(p6,14)
(p8,11)
(p3,44)
(p1,60)
(q6,70)
(q3,43)
(q7,61)
(q9,2)
(q1,42)
(q0,17)
(q4,36)
(q8,0)
(q2,58)
(q5,90)
(r4,53)
(r1,66)
(r8,93)
(r2,33)
(r9,76)
(r7,80)
(r6,37)
(r0,84)
(s2,32)
(s7,88)
(s8,84)
(s6,49)
(s5,44)
(s3,39)
(s1,41)
(s9,38)
(s4,62)
(t9,93)
(t5,94)
(t1,27)
(t4,29)
(t8,56)
(t7,37)
(u1,57)
(u5,13)
(u8,76)
(u4,51)
(u0,97)
(u7,75)
(u6,4)
(u3,24)
(u9,73)
(v3,32)
(v9,23)
(v6,66)
(v1,72)
(v0,76)
(v8,100)
(v5,81)
(w6,13)
(w3,56)
(w9,44)
(w4,95)
(w7,12)
(w8,57)
(w2,17)
(x7,85)
(x5,93)
(x2,93)
(x8,26)
(x4,46)
(x1,15)
(x0,9)
(x3,43)
(y9,49)
(y1,83)
(y6,40)
(y5,69)
(y3,39)
(y7,74)
(y8,93)
(y4,51)
(z1,95)
(z2,54)
(z7,72)
(z9,15)
(z5,95)
(z0,45)
[(u0,97)]
[(s0,KVSERROR)]
[(i4,KVSERROR)]
