[(o7,75)]
(e5,38)
(e1,90)
(e0,83)
(e9,24)
(f2,8)
(f1,24)
(f0,27)
(f3,21)
(f5,67)
(f7,53)
(f4,26)
(f8,36)
(f6,17)
(g6,14)
(g9,64)
(g4,72)
(g8,18)
(g5,79)
(g3,26)
(g1,28)
(g0,13)
(g2,25)
(g7,23)
(h0,2)
(h7,12)
(h8,60)
(h4,5)
(h3,97)
(h6,100)
(h1,85)
(h5,12)
(h2,12)
(i6,76)
(i9,8)
(i4,9)
(i7,78)
(i8,38)
(i0,19)
(i2,88)
(i5,56)
(i3,29)
(i1,70)
(j7,10)
(j4,17)
(j2,93)
(j3,21)
(j6,9)
(j9,21)
(j5,45)
(j0,86)
(k5,94)
(k4,35)
(k0,62)
(k9,90)
(k2,0)
(k7,3)
(l6,78)
(l0,49)
(l5,80)
(l4,46)
(l9,88)
(l3,63)
(l2,41)
(l7,42)
(m7,17)
(m8,39)
(m5,27)
(m3,85)
(m0,97)
(m9,54)
(m2,56)
(m4,3)
(n4,67)
(n8,29)
(n9,75)
(n0,41)
(n2,14)
(n1,5)
(n6,14)
(o8,71)
(o9,5)
(o0,58)
(o7,96)
(o5,96)
(o3,89)
(o2,46)
(p6,77)
(p4,67)
(p0,1)
(p5,95)
(p2,24)
(p1,36)
(p9,37)
(p7,99)
(q3,81)
(q2,26)
(q5,4)
(q9,75)
(q1,93)
(q0,25)
(q6,48)
(q7,14)
(q4,61)
(r2,35)
(r0,27)
(r1,37)
(r6,9)
(r7,12)
(r8,36)
(r9,26)
(r5,46)
(r3,96)
(r4,42)
(s1,7)
(s8,29)
(s0,10)
(s5,26)
(s2,47)
(s6,93)
(s4,95)
(s9,19)
(t8,21)
(t3,63)
(t6,58)
(t0,28)
(t5,12)
(t4,65)
(t7,52)
(u6,51)
(u7,77)
(u3,10)
(u8,47)
(u2,87)
(u9,39)
(u5,85)
(u4,6)
(u0,78)
(v6,38)
(v2,68)
(v8,66)
(v0,26)
(v7,92)
(v5,80)
(v4,67)
(v1,31)
(w1,38)
(w7,66)
(w2,72)
(w9,73)
(w5,94)
(w6,43)
(x4,47)
(x0,19)
(x8,59)
(x5,7)
(x1,47)
(x7,64)
(x9,59)
(x3,6)
(x6,26)
(x2,4)
(y2,41)
(y1,10)
(y6,66)
(y0,4)
(y3,0)
(y9,31)
(y7,19)
(y4,16)
(y8,33)
(z6,65)
(z3,74)
(z8,72)
(z5,30)
(z9,5)
(z2,15)
(z7,23)
(z0,60)
(z4,42)
[(p2,24)]
