[(j4,55)]
(a5,72)
(a3,7)
(a9,52)
(a2,68)
(a1,27)
(a6,55)
(a7,43)
(a0,71)
(a8,64)
(a4,99)
(b9,26)
(b8,99)
(b3,67)
(b4,4)
(c8,46)
(c3,57)
(c6,29)
(c4,26)
(c1,52)
(c5,90)
(c0,9)
(c7,30)
(d5,65)
(d2,91)
(d3,86)
(d0,17)
(d7,20)
(d8,49)
(d9,77)
(d1,17)
(d6,22)
(e1,38)
(e6,62)
(e2,46)
(e7,21)
(e3,94)
(e5,13)
(e0,26)
(e9,69)
(f0,4)
(f7,5)
(f9,51)
(f2,34)
(f1,68)
(f3,60)
(f5,30)
(f8,27)
(f6,81)
(g4,48)
(g0,93)
(g6,70)
(g9,52)
(g8,84)
(g5,41)
(g3,33)
(g2,23)
(h5,72)
(h4,17)
(h8,50)
(h9,100)
(h0,55)
(h7,12)
(h3,9)
(h1,19)
(i4,83)
(i7,91)
(i9,76)
(i8,98)
(i0,76)
(i2,15)
(i5,99)
(i3,72)
(i1,35)
(j3,85)
(j7,75)
(j5,61)
(j4,15)
(j9,8)
(k9,57)
(k2,97)
(k1,1)
(k3,6)
(k4,64)
(k8,85)
(k5,86)
(k0,49)
(k7,94)
(l1,83)
(l0,95)
(l4,1)
(l9,2)
(l3,96)
(l2,61)
(l7,12)
(m7,54)
(m8,73)
(m1,63)
(m9,25)
(m6,84)
(m4,99)
(m3,98)
(m2,36)
(n6,19)
(n9,74)
(n8,81)
(n3,30)
(n4,67)
(o0,70)
(o1,83)
(o4,96)
(o8,8)
(o9,34)
(o7,92)
(o5,66)
(o3,100)
(o2,76)
(p4,90)
(p3,7)
(p8,2)
(p6,50)
(p5,45)
(p1,69)
(p7,25)
(q5,73)
(q6,37)
(q9,52)
(q3,79)
(q8,26)
(q2,37)
(q0,25)
(q7,96)
(q4,39)
(r9,85)
(r2,92)
(r0,53)
(r6,33)
(r7,26)
(r8,15)
(r5,28)
(r3,65)
(r4,17)
(s3,50)
(s1,43)
(s7,24)
(s8,49)
(s0,14)
(s5,74)
(s2,39)
(s6,17)
(s4,96)
(s9,5)
(t6,97)
(t9,73)
(t1,30)
(t8,90)
(t3,83)
(t5,12)
(t7,37)
(u6,51)
(u3,81)
(u8,7)
(u2,91)
(u4,28)
(u0,70)
(v9,83)
(v4,10)
(v3,20)
(v6,6)
(v8,42)
(v0,32)
(v5,54)
(v1,61)
(w8,45)
(w6,21)
(w4,52)
(w3,44)
(w2,80)
(w9,73)
(x0,15)
(x4,49)
(x8,86)
(x1,36)
(x7,93)
(x3,65)
(x6,64)
(x2,12)
(y5,0)
(y6,2)
(y2,21)
(y3,30)
(y7,97)
(y4,70)
(y8,61)
(z4,4)
(z9,79)
(z0,89)
(z2,12)
(z6,45)
(z3,82)
(z5,57)
(z7,95)
[(h4,17)]
[(m5,KVSERROR)]
[(t6,97)]
[(v8,11)]
Waiting...
[(e6,100)]
[(s1,KVSMISSING)]
[(v6,KVSMISSING)(f7,KVSMISSING)]
[(g6,KVSMISSING)(r3,KVSMISSING)]
[(t6,65)]
[(w3,KVSERROR)]
[(m6,KVSMISSING)(j9,KVSMISSING)]
[(x4,28)]
[(d4,91)]
[(w3,KVSERROR)]
[(e9,KVSERROR)]
[(a7,KVSMISSING)]
[(x3,65)]
