[(o8,KVSMISSING)]
[(q3,21)]
(a6,70)
(a0,43)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(b2,91)
(b1,62)
(b8,62)
(b7,43)
(b4,5)
(b5,94)
(b3,9)
(c6,20)
(c3,98)
(c4,85)
(c8,67)
(c9,58)
(c7,14)
(c0,93)
(c5,76)
(c1,87)
(c2,69)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,29)
(d5,22)
(d4,57)
(e5,75)
(e2,35)
(e3,94)
(e8,63)
(e9,60)
(e1,63)
(e7,70)
(e6,91)
(e4,34)
(f2,41)
(f6,84)
(f9,50)
(f7,12)
(f4,38)
(g2,96)
(g0,37)
(g4,33)
(g9,20)
(g7,82)
(g3,89)
(g6,4)
(g1,28)
(g5,11)
(h8,44)
(h3,4)
(h7,95)
(h6,5)
(h5,81)
(h9,5)
(h2,74)
(h0,93)
(i6,51)
(i3,57)
(i1,95)
(i5,43)
(i4,66)
(i2,33)
(i0,17)
(j1,83)
(j8,1)
(j2,12)
(j9,12)
(j7,64)
(j5,55)
(j6,2)
(k5,22)
(k9,7)
(k2,39)
(k4,3)
(l1,80)
(l3,42)
(l4,30)
(l5,16)
(l9,18)
(l0,62)
(l7,0)
(m9,91)
(m1,50)
(m0,76)
(m5,84)
(m4,78)
(m8,68)
(m7,84)
(m3,51)
(n4,24)
(n9,1)
(n7,26)
(n0,34)
(n2,26)
(n1,62)
(n3,14)
(o4,57)
(o3,80)
(o6,44)
(o9,83)
(o5,11)
(o7,18)
(o1,49)
(o0,19)
(o2,76)
(p3,23)
(p7,85)
(p8,48)
(p4,85)
(p6,19)
(p5,22)
(p1,91)
(q5,26)
(q6,59)
(q3,21)
(q7,4)
(q4,99)
(q8,76)
(q9,48)
(q2,87)
(r3,14)
(r1,39)
(r0,53)
(r9,94)
(r2,0)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,53)
(s9,7)
(t3,95)
(t1,74)
(t8,63)
(t9,22)
(u6,35)
(u5,73)
(u0,99)
(u2,65)
(u9,11)
(u8,87)
(u3,81)
(v7,19)
(v9,3)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v0,40)
(v5,30)
(w7,46)
(w5,8)
(w2,26)
(w4,56)
(w9,91)
(x1,2)
(x3,42)
(x8,24)
(x6,97)
(x4,18)
(x9,90)
(x2,28)
(y7,3)
(y8,76)
(y5,38)
(y1,62)
(y2,45)
(z0,10)
(z8,18)
(z4,31)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
(a6,70)
(a0,43)
(a8,98)
(a7,10)
(a3,38)
(a9,21)
(b2,91)
(b1,62)
(b8,62)
(b7,43)
(b4,5)
(b5,94)
(b3,9)
(c6,20)
(c3,98)
(c4,85)
(c8,67)
(c9,58)
(c7,14)
(c0,93)
(c5,76)
(c1,87)
(c2,69)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,29)
(d5,22)
(d4,57)
(e5,75)
(e2,35)
(e3,94)
(e8,63)
(e9,60)
(e1,63)
(e7,70)
(e6,91)
(e4,34)
(f2,41)
(f6,84)
(f9,50)
(f7,12)
(f4,38)
(g2,96)
(g0,37)
(g4,33)
(g9,20)
(g7,82)
(g3,89)
(g6,4)
(g1,28)
(g5,11)
(h8,44)
(h3,4)
(h7,95)
(h6,5)
(h5,81)
(h9,5)
(h2,74)
(h0,93)
(i6,51)
(i3,57)
(i1,95)
(i5,43)
(i4,66)
(i2,33)
(i0,17)
(j1,83)
(j8,1)
(j2,12)
(j9,12)
(j7,64)
(j5,55)
(j6,2)
(k5,22)
(k9,7)
(k2,39)
(k4,3)
(l1,80)
(l3,42)
(l4,30)
(l5,16)
(l9,18)
(l0,62)
(l7,0)
(m9,91)
(m1,50)
(m0,76)
(m5,84)
(m4,78)
(m8,68)
(m7,84)
(m3,51)
(n4,24)
(n9,1)
(n7,26)
(n0,34)
(n2,26)
(n1,62)
(n3,14)
(o4,57)
(o3,80)
(o6,44)
(o9,83)
(o5,11)
(o7,18)
(o1,49)
(o0,19)
(o2,76)
(p3,23)
(p7,85)
(p8,48)
(p4,85)
(p6,19)
(p5,22)
(p1,91)
(q5,26)
(q6,59)
(q3,21)
(q7,4)
(q4,99)
(q8,76)
(q9,48)
(q2,87)
(r3,14)
(r1,39)
(r0,53)
(r9,94)
(r2,0)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,53)
(s9,7)
(t3,95)
(t1,74)
(t8,63)
(t9,22)
(u6,35)
(u5,73)
(u0,99)
(u2,65)
(u9,11)
(u8,87)
(u3,81)
(v7,19)
(v9,3)
(v2,9)
(v1,30)
(v6,10)
(v4,25)
(v0,40)
(v5,30)
(w7,46)
(w5,8)
(w2,26)
(w4,56)
(w9,91)
(x1,2)
(x3,42)
(x8,24)
(x6,97)
(x4,18)
(x9,90)
(x2,28)
(y7,3)
(y8,76)
(y5,38)
(y1,62)
(y2,45)
(z0,10)
(z8,18)
(z4,31)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
Waiting...
[(p7,KVSERROR)]
[(t5,68)]
[(c2,42)]
(a1,45)
(a4,56)
(a2,68)
(a5,31)
(a0,22)
(a7,36)
(a3,23)
(a9,88)
(b9,52)
(b5,97)
(b6,87)
(b2,25)
(b4,27)
(b3,63)
(c2,42)
(c5,52)
(c9,15)
(c6,50)
(c3,98)
(c4,85)
(c8,25)
(c7,14)
(c0,93)
(c1,73)
(d0,93)
(d2,10)
(d7,91)
(d1,4)
(d4,57)
(e2,35)
(e3,14)
(e8,87)
(e9,78)
(e1,69)
(e6,69)
(e4,51)
(f1,10)
(f3,23)
(f5,72)
(f0,31)
(f2,4)
(f6,68)
(f9,8)
(f7,90)
(f4,38)
(g3,56)
(g6,92)
(g2,96)
(g0,11)
(g9,96)
(g7,82)
(g1,7)
(g5,47)
(h4,61)
(h3,85)
(h1,7)
(h7,95)
(h6,36)
(h5,74)
(h9,3)
(h2,25)
(h0,22)
(i4,8)
(i8,23)
(i7,6)
(i9,74)
(i6,51)
(i3,11)
(i5,80)
(i2,71)
(j0,78)
(j9,55)
(j3,20)
(j5,22)
(j7,26)
(j4,98)
(j8,94)
(j2,12)
(j6,91)
(k7,68)
(k3,63)
(k6,30)
(k0,82)
(k9,7)
(k2,39)
(k4,3)
(l6,18)
(l1,29)
(l8,100)
(l3,88)
(l4,92)
(l5,61)
(l9,28)
(l0,31)
(m2,45)
(m9,44)
(m1,57)
(m0,70)
(m8,79)
(m7,88)
(n5,98)
(n7,59)
(n2,4)
(n9,3)
(n4,24)
(n1,30)
(n3,90)
(o8,59)
(o4,78)
(o3,16)
(o6,87)
(o9,60)
(o5,13)
(o7,25)
(o1,75)
(o0,60)
(p5,62)
(p0,1)
(p1,31)
(p4,80)
(p2,29)
(p3,58)
(p8,16)
(p6,83)
(q3,69)
(q1,6)
(q0,9)
(q6,37)
(q5,77)
(q7,4)
(q4,23)
(q8,21)
(r1,83)
(r7,17)
(r6,17)
(r5,31)
(r9,46)
(r0,55)
(r2,71)
(s9,4)
(s0,81)
(s5,88)
(s3,37)
(s2,17)
(s8,10)
(s6,52)
(s7,53)
(s4,32)
(t7,18)
(t4,56)
(t9,52)
(t0,54)
(t5,68)
(u1,98)
(u7,80)
(u4,48)
(u6,15)
(u5,79)
(u0,99)
(u2,40)
(u8,30)
(v3,94)
(v8,16)
(v7,65)
(v9,69)
(v2,56)
(v1,79)
(v6,78)
(v4,76)
(v0,18)
(v5,30)
(w1,27)
(w7,91)
(w4,67)
(w3,69)
(w6,44)
(w5,46)
(w2,26)
(w9,99)
(x6,75)
(x0,20)
(x7,25)
(x5,78)
(x1,73)
(x3,42)
(x8,27)
(x4,8)
(x9,90)
(x2,28)
(y0,50)
(y8,94)
(y3,100)
(y6,55)
(y4,38)
(y9,100)
(y7,59)
(y1,39)
(y2,5)
(z0,6)
(z1,11)
(z4,49)
(z7,16)
(z3,34)
(z6,94)
(z2,7)
(z9,13)
[(c2,42)]
[(w8,72)]
Waiting...
[(q0,57)]
[(t7,KVSMISSING)]
[(v2,KVSMISSING)(d1,KVSMISSING)]
