Waiting...
[(k7,47)]
(g1,7)
(g5,47)
(h1,7)
(h7,95)
(h6,75)
(h5,74)
(h9,3)
(h2,0)
(h0,22)
(i7,57)
(i9,74)
(i6,51)
(i3,11)
(i1,95)
(i5,43)
(i2,48)
(i0,6)
(j5,53)
(j7,26)
(j4,12)
(j8,44)
(j2,12)
(j6,11)
(k7,76)
(k3,65)
(k6,30)
(k1,17)
(k0,39)
(k9,7)
(k2,39)
(k4,3)
(l1,40)
(l8,100)
(l3,64)
(l4,51)
(l5,3)
(l9,28)
(l0,31)
(l7,52)
(m6,15)
(m2,100)
(m9,91)
(m1,57)
(m0,70)
(m4,57)
(m8,68)
(m7,88)
(m3,41)
(n7,62)
(n4,24)
(n9,84)
(n1,62)
(n3,90)
(o4,78)
(o3,80)
(o6,87)
(o9,87)
(o5,79)
(o7,18)
(o1,36)
(o0,47)
(o2,76)
(p0,71)
(p4,80)
(p2,48)
(p3,0)
(p7,88)
(p8,39)
(p6,83)
(q1,17)
(q0,98)
(q6,80)
(q5,26)
(q3,47)
(q7,4)
(q4,1)
(q8,74)
(q9,48)
(q2,87)
(r5,66)
(r9,8)
(r1,21)
(r4,34)
(r3,14)
(r0,55)
(r2,0)
(s5,88)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,12)
(s7,56)
(s4,82)
(s1,38)
(t0,54)
(t5,48)
(t7,62)
(t6,92)
(t3,35)
(t1,96)
(u4,95)
(u6,76)
(u5,79)
(u0,99)
(u2,65)
(u9,11)
(u8,30)
(v8,3)
(v7,19)
(v9,11)
(v2,9)
(v1,79)
(v6,78)
(v4,67)
(v0,40)
(v5,30)
(w0,77)
(w1,22)
(w6,44)
(w7,46)
(w5,60)
(w2,26)
(w9,99)
(x0,3)
(x7,25)
(x5,78)
(x1,35)
(x3,42)
(x8,2)
(x4,8)
(x9,90)
(x2,28)
(y6,63)
(y4,38)
(y9,100)
(y7,39)
(y8,76)
(y5,28)
(y1,95)
(y2,5)
(z0,44)
(z8,11)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,7)
(z9,25)
[(n0,KVSMISSING)]
[(t8,KVSERROR)]
Waiting...
[(j5,22)]
Waiting...
(a5,10)
(a9,9)
(a4,31)
(a8,58)
(a1,33)
(a7,51)
(a3,99)
(b4,22)
(b8,46)
(b7,55)
(b1,28)
(b5,10)
(b3,13)
(c2,3)
(c4,87)
(c3,43)
(c5,60)
(c9,39)
(c6,46)
(c8,59)
(c7,44)
(c0,100)
(c1,70)
(d8,97)
(d9,38)
(d6,77)
(d1,96)
(d5,39)
(d2,77)
(d7,91)
(d4,77)
(e1,76)
(e9,23)
(e3,38)
(e7,55)
(e5,66)
(e0,22)
(e2,10)
(e8,81)
(f8,60)
(f5,72)
(f1,4)
(f3,47)
(f2,12)
(f9,78)
(f7,7)
(f4,99)
(g4,91)
(g2,2)
(g5,69)
(g8,66)
(g3,22)
(g0,33)
(g9,8)
(h6,47)
(h8,72)
(h7,22)
(h5,78)
(h9,80)
(h2,85)
(i2,13)
(i0,40)
(i7,74)
(i8,91)
(i1,54)
(i9,2)
(i5,50)
(j3,81)
(j9,41)
(j1,85)
(j0,79)
(j5,79)
(j7,53)
(j4,71)
(j8,61)
(j2,98)
(k6,72)
(k0,78)
(k1,99)
(k5,34)
(k8,39)
(k7,45)
(k3,5)
(k9,99)
(k4,64)
(l2,71)
(l0,82)
(l4,65)
(l9,83)
(l3,21)
(l6,93)
(l1,10)
(l8,88)
(l5,91)
(m5,100)
(m7,56)
(m4,29)
(m3,75)
(m6,11)
(m9,47)
(m0,93)
(m8,92)
(n1,63)
(n3,78)
(n7,44)
(n8,87)
(n9,99)
(o3,15)
(o4,6)
(o7,15)
(o8,69)
(o2,8)
(o6,10)
(o5,13)
(o0,19)
(p4,22)
(p0,70)
(p1,3)
(p7,10)
(p5,34)
(p3,24)
(q8,92)
(q6,21)
(q7,47)
(q9,12)
(q4,49)
(q2,70)
(q0,5)
(q5,14)
(r0,93)
(r8,19)
(r3,68)
(r1,27)
(r7,71)
(r5,41)
(r9,77)
(s7,91)
(s1,92)
(s5,59)
(s0,96)
(s3,13)
(s6,95)
(s4,43)
(t1,44)
(t8,4)
(t2,69)
(t4,86)
(t9,62)
(t5,26)
(u4,55)
(u5,29)
(u3,88)
(u9,56)
(u1,18)
(u7,68)
(u6,32)
(u0,10)
(u2,60)
(u8,4)
(v7,97)
(v9,46)
(v1,71)
(v6,51)
(v4,14)
(v0,28)
(v5,2)
(w6,0)
(w5,93)
(w4,88)
(w0,23)
(w1,94)
(w2,58)
(w9,86)
(x5,98)
(x9,59)
(x0,20)
(x3,17)
(x1,49)
(x6,27)
(x8,48)
(x4,1)
(x2,1)
(y0,31)
(y6,38)
(y1,53)
(y8,69)
(y3,23)
(y4,96)
(y9,60)
(y7,17)
(y2,7)
(z8,70)
(z4,2)
(z3,80)
(z2,49)
(z0,18)
(z7,93)
(z9,72)
[(u6,32)]
[(j6,KVSMISSING)]
[(a5,10)]
(a5,10)
(a9,86)
(a4,31)
(a8,58)
(a7,4)
(a3,99)
(b4,22)
(b8,87)
(b7,55)
(b1,28)
(b5,17)
(b3,13)
(c2,3)
(c4,87)
(c3,43)
(c5,60)
(c9,39)
(c6,46)
(c8,59)
(c7,44)
(c0,100)
(d8,97)
(d9,38)
(d6,77)
(d1,96)
(d5,39)
(d2,77)
(d7,96)
(d4,77)
(e1,76)
(e9,23)
(e3,38)
(e7,55)
(e5,66)
(e0,22)
(e2,10)
(e8,81)
(f8,60)
(f5,72)
(f3,47)
(f2,12)
(f7,7)
(f4,99)
(g4,91)
(g2,2)
(g5,69)
(g8,66)
(g3,22)
(g9,58)
(h6,47)
(h8,72)
(h7,22)
(h5,78)
(h9,80)
(h2,85)
(i2,13)
(i0,40)
(i8,91)
(i1,54)
(i9,79)
(i5,50)
(j6,44)
(j3,20)
(j9,41)
(j1,85)
(j0,79)
(j5,79)
(j7,53)
(j4,71)
(j8,61)
(j2,98)
(k6,72)
(k0,78)
(k1,99)
(k5,34)
(k8,39)
(k7,45)
(k9,99)
(k4,64)
(l2,71)
(l4,65)
(l9,83)
(l3,21)
(l6,93)
(l1,10)
(l5,91)
(m5,100)
(m7,56)
(m4,29)
(m3,75)
(m9,47)
(m0,93)
(m8,92)
(n5,100)
(n1,63)
(n3,78)
(n7,44)
(n8,87)
(n9,99)
(o9,56)
(o3,15)
(o4,6)
(o7,15)
(o8,69)
(o2,8)
(o6,60)
(o5,13)
(o0,19)
(p0,70)
(p1,77)
(p7,10)
(p5,34)
(p3,24)
(q8,92)
(q6,21)
(q7,47)
(q9,12)
(q4,49)
(q2,70)
(q0,5)
(q5,14)
(r0,93)
(r8,19)
(r3,68)
(r1,31)
(r5,41)
(r9,77)
(s9,10)
(s7,91)
(s1,92)
(s5,59)
(s0,96)
(s3,13)
(s6,95)
(s4,43)
(t6,17)
(t3,72)
(t1,44)
(t2,69)
(t4,86)
(t9,96)
(t5,26)
(u4,51)
(u5,26)
(u3,88)
(u9,56)
(u1,18)
(u6,32)
(u0,10)
(u2,60)
(u8,4)
(v7,97)
(v9,46)
(v1,71)
(v6,51)
(v4,14)
(v0,28)
(v5,2)
(w6,0)
(w5,93)
(w4,88)
(w0,23)
(w1,94)
(w2,58)
(w9,86)
(x5,77)
(x9,59)
(x0,20)
(x3,17)
(x6,27)
(x8,38)
(x4,1)
(x2,1)
(y0,31)
(y6,38)
(y1,53)
(y8,69)
(y3,23)
(y4,96)
(y9,60)
(y7,17)
(y2,7)
(z8,49)
(z4,94)
(z3,38)
(z2,49)
(z0,22)
(z7,93)
[(j4,71)]
[(u8,24)]
[(b0,KVSERROR)]
[(b0,KVSMISSING)]
(a5,10)
(a9,86)
(a4,31)
(a8,58)
(a3,99)
(b6,23)
(b4,22)
(b8,87)
(b7,55)
(b1,28)
(b5,17)
(b3,13)
(c2,22)
(c4,87)
(c3,43)
(c5,60)
(c9,38)
(c6,46)
(c8,59)
(c7,44)
(c0,100)
(d8,97)
(d9,38)
(d6,77)
(d1,96)
(d5,39)
(d2,48)
(d7,96)
(d4,77)
(e1,76)
(e9,23)
(e3,38)
(e7,55)
(e5,71)
(e0,22)
(e2,10)
(e8,68)
(f8,60)
(f5,72)
(f3,47)
(f2,12)
(f7,7)
(f4,99)
(g7,39)
(g6,83)
(g4,91)
(g2,2)
(g5,84)
(g8,66)
(g3,22)
(h0,55)
(h6,51)
(h8,9)
(h7,22)
(h5,78)
(h9,80)
(h2,85)
(i6,23)
(i2,13)
(i0,40)
(i8,91)
(i1,54)
(i9,79)
(i5,50)
(j6,21)
(j3,20)
(j9,41)
(j1,97)
(j0,79)
(j5,79)
(j7,53)
(j4,71)
(j8,61)
(j2,98)
(k6,72)
(k0,78)
(k1,99)
(k5,34)
(k8,39)
(k7,45)
(k9,73)
(k4,64)
(l0,46)
(l2,4)
(l4,65)
(l9,83)
(l3,21)
(l6,92)
(l1,10)
(l5,91)
(m2,53)
(m6,69)
(m5,100)
(m7,56)
(m4,29)
(m3,75)
(m9,47)
(m0,93)
(m8,92)
(n0,8)
(n5,100)
(n1,63)
(n3,78)
(n7,44)
(n8,87)
(n9,99)
(o9,56)
(o3,15)
(o4,6)
(o7,15)
(o8,69)
(o2,70)
(o6,60)
(o5,13)
(o0,19)
(p9,45)
(p1,77)
(p7,10)
(p5,37)
(p3,24)
(q8,92)
(q6,21)
(q7,47)
(q9,12)
(q4,38)
(q2,70)
(q0,57)
(q5,14)
(r0,93)
(r8,5)
(r3,68)
(r5,41)
(r9,77)
(s8,66)
(s9,10)
(s7,99)
(s5,59)
(s0,96)
(s3,96)
(s6,95)
(s4,43)
(t6,17)
(t3,72)
(t1,44)
(t2,69)
(t4,86)
(t9,96)
(t5,13)
(u7,37)
(u4,51)
(u5,26)
(u3,88)
(u9,56)
(u1,18)
(u0,91)
(u2,60)
(u8,24)
(v7,39)
(v9,74)
(v1,71)
(v6,51)
(v4,14)
(v0,28)
(v5,2)
(w8,53)
(w6,0)
(w5,93)
(w4,88)
(w0,23)
(w2,58)
(w9,86)
(x1,29)
(x5,77)
(x9,59)
(x3,17)
(x6,27)
(x4,1)
(x2,1)
(y0,25)
(y6,38)
(y1,53)
(y8,69)
(y3,23)
(y4,96)
(y9,60)
(y7,17)
(y2,7)
(z8,49)
(z4,94)
(z3,57)
(z2,49)
(z0,22)
(z7,10)
[(j5,79)]
Waiting...
[(k7,22)]
(a2,33)
(a7,9)
(a6,67)
(a5,34)
(a9,76)
(a8,1)
(a3,89)
(b1,72)
(b4,85)
(b6,66)
(b9,17)
(b8,57)
(b2,60)
(b7,55)
(b5,17)
(b3,71)
(c4,59)
(c1,34)
(c2,84)
(c3,43)
(c9,78)
(c6,39)
(c8,79)
(c7,24)
(c0,5)
(d3,14)
(d7,86)
(d0,88)
(d1,67)
(d9,38)
(d6,9)
(d5,13)
(d4,44)
(e6,100)
(e5,63)
(e8,95)
(e2,77)
(e1,78)
(e7,23)
(f6,24)
(f2,92)
(f9,93)
(f8,60)
(f3,47)
(f7,90)
(f4,8)
(g8,31)
(g6,91)
(g3,85)
(g9,36)
(g1,55)
(g7,52)
(g4,7)
(g2,65)
(g5,42)
(h5,86)
(h3,1)
(h4,11)
(h0,21)
(h6,51)
(h8,68)
(h7,22)
(h9,99)
(h2,69)
(i5,14)
(i0,93)
(i2,52)
(i7,31)
(i3,83)
(i6,61)
(i8,43)
(i1,61)
(i9,47)
(j3,20)
(j9,20)
(j1,95)
(j0,88)
(j5,91)
(j7,53)
(j4,25)
(j8,2)
(k5,48)
(k6,70)
(k2,39)
(k8,39)
(k7,22)
(k9,73)
(k4,72)
(l8,88)
(l4,98)
(l9,71)
(l3,21)
(l6,57)
(l1,59)
(l5,91)
(m8,43)
(m2,19)
(m5,37)
(m4,49)
(m3,29)
(m9,1)
(m0,90)
(n7,43)
(n2,41)
(n6,81)
(n0,1)
(n5,37)
(n1,26)
(n3,61)
(n8,14)
(o1,6)
(o5,43)
(o7,20)
(o9,87)
(o3,83)
(o4,6)
(o2,70)
(o6,89)
(p6,43)
(p8,2)
(p3,79)
(p0,18)
(p9,70)
(p1,75)
(p7,40)
(p5,89)
(q6,48)
(q4,11)
(q1,11)
(q8,92)
(q7,84)
(q2,11)
(q5,8)
(r3,22)
(r6,79)
(r4,68)
(r0,53)
(r5,41)
(r9,23)
(s1,5)
(s0,73)
(s2,36)
(s5,5)
(s9,32)
(s7,99)
(s3,14)
(s4,77)
(t4,60)
(t7,63)
(t9,22)
(t6,48)
(t8,39)
(t0,70)
(t3,28)
(t1,80)
(t2,18)
(t5,80)
(u0,89)
(u6,91)
(u1,34)
(u4,21)
(u5,63)
(u3,39)
(u9,78)
(u2,60)
(v5,71)
(v8,72)
(v9,20)
(v6,51)
(v4,86)
(w3,76)
(w7,75)
(w8,53)
(w6,39)
(w0,23)
(w2,24)
(w9,86)
(x8,41)
(x1,3)
(x3,39)
(x7,76)
(x9,59)
(x6,27)
(x2,47)
(y7,44)
(y6,20)
(y1,36)
(y8,53)
(y3,90)
(y4,34)
(y2,98)
(z4,71)
(z5,0)
(z8,15)
(z1,69)
(z9,70)
(z3,23)
(z2,49)
(z0,22)
(z7,82)
[(i6,61)]
[(a4,KVSMISSING)]
[(d2,KVSMISSING)(m6,KVSMISSING)]
[(v4,86)]
[(s9,32)]
(a2,33)
(a7,7)
(a6,67)
(a5,34)
(a9,76)
(a8,93)
(a3,89)
(b1,72)
(b4,85)
(b6,66)
(b9,17)
(b8,27)
(b2,60)
(b7,55)
(b5,17)
(b3,71)
(c4,59)
(c1,34)
(c2,84)
(c3,43)
(c9,78)
(c6,39)
(c8,79)
(c7,24)
(c0,5)
(d7,86)
(d0,95)
(d1,67)
(d9,38)
(d6,86)
(d5,13)
(d4,44)
(e6,100)
(e5,63)
(e8,95)
(e2,77)
(e1,78)
(f6,24)
(f2,92)
(f9,93)
(f8,60)
(f3,47)
(f7,90)
(f4,8)
(g8,17)
(g6,91)
(g3,85)
(g9,36)
(g1,55)
(g7,52)
(g4,7)
(g2,80)
(g5,42)
(h5,86)
(h3,1)
(h4,11)
(h6,51)
(h8,68)
(h7,22)
(h9,87)
(h2,69)
(i5,14)
(i0,93)
(i2,52)
(i7,31)
(i3,40)
(i6,61)
(i8,43)
(i1,61)
(i9,47)
(j9,20)
(j1,95)
(j0,88)
(j5,91)
(j7,53)
(j4,25)
(j8,2)
(k5,48)
(k6,70)
(k2,39)
(k8,39)
(k7,22)
(k9,73)
(k4,72)
(l8,88)
(l4,98)
(l9,71)
(l3,21)
(l1,59)
(l5,91)
(m8,43)
(m2,19)
(m5,37)
(m4,49)
(m3,29)
(m9,1)
(m0,90)
(n7,43)
(n2,41)
(n6,81)
(n0,1)
(n5,37)
(n1,26)
(n3,61)
(n8,34)
(o1,6)
(o5,43)
(o7,20)
(o9,87)
(o3,54)
(o4,6)
(o2,70)
(o6,89)
(p4,88)
(p6,43)
(p8,2)
(p3,79)
(p0,18)
(p9,70)
(p1,75)
(p7,40)
(p5,89)
(q0,42)
(q6,48)
(q4,11)
(q1,11)
(q8,92)
(q7,84)
(q2,11)
(q5,8)
(r3,22)
(r6,79)
(r4,68)
(r0,53)
(r5,41)
(r9,23)
(s8,87)
(s1,50)
(s0,73)
(s2,36)
(s5,5)
(s9,32)
(s7,99)
(s4,94)
(t4,60)
(t7,63)
(t9,22)
(t6,48)
(t8,39)
(t0,70)
(t1,80)
(t2,18)
(t5,80)
(u0,89)
(u6,46)
(u1,34)
(u4,21)
(u5,16)
(u3,39)
(u9,78)
(u2,60)
(v2,99)
(v5,71)
(v8,72)
(v9,20)
(v6,51)
(v4,86)
(w3,76)
(w7,75)
(w8,53)
(w6,39)
(w0,23)
(w2,24)
(w9,86)
(x8,41)
(x1,3)
(x3,39)
(x7,76)
(x9,59)
(x6,27)
(x2,47)
(y7,44)
(y1,36)
(y8,53)
(y3,90)
(y4,88)
(y2,76)
(z4,71)
(z5,0)
(z8,50)
(z1,69)
(z9,83)
(z3,23)
(z2,49)
(z0,2)
(z7,82)
[(m4,49)]
