[(i8,66)]
(k8,15)
(k7,68)
(k3,44)
(k6,24)
(k0,82)
(k9,29)
(k2,50)
(k4,36)
(l1,10)
(l7,24)
(l8,88)
(l6,97)
(l4,7)
(l5,61)
(l9,2)
(l0,31)
(m3,63)
(m6,66)
(m9,16)
(m0,93)
(m8,26)
(m7,93)
(n6,7)
(n7,12)
(n5,79)
(n9,4)
(n4,41)
(n1,22)
(o2,53)
(o4,78)
(o3,66)
(o6,55)
(o9,7)
(o5,13)
(o1,45)
(o0,24)
(p2,83)
(p4,10)
(p7,62)
(p5,71)
(p1,50)
(p3,47)
(p8,97)
(p6,11)
(q4,0)
(q2,29)
(q3,69)
(q1,99)
(q0,5)
(q6,79)
(q5,59)
(q7,3)
(r8,19)
(r4,45)
(r3,68)
(r1,83)
(r7,37)
(r6,87)
(r5,94)
(r9,2)
(r0,55)
(r2,34)
(s0,32)
(s1,69)
(s9,94)
(s5,68)
(s3,37)
(s8,10)
(s6,63)
(s4,38)
(t7,6)
(t2,11)
(t8,10)
(t4,37)
(t9,11)
(t0,44)
(t5,53)
(u9,22)
(u1,30)
(u7,90)
(u6,32)
(u5,72)
(u0,53)
(u2,97)
(u8,87)
(v9,62)
(v1,44)
(v3,99)
(v7,56)
(v2,28)
(v6,29)
(v4,76)
(v0,11)
(v5,30)
(w1,9)
(w2,43)
(w8,3)
(w7,3)
(w5,25)
(w9,61)
(x1,97)
(x6,27)
(x0,96)
(x7,5)
(x8,99)
(x4,36)
(x9,45)
(x2,91)
(y0,60)
(y8,48)
(y3,29)
(y6,55)
(y4,96)
(y9,33)
(y7,77)
(y2,7)
(z4,87)
(z8,28)
(z1,47)
(z7,16)
(z3,82)
(z6,94)
(z2,7)
(z9,91)
[(z2,7)]
[(k6,24)]
[(s5,95)]
[(j8,60)]
[(u8,35)]
[(s7,KVSMISSING)]
[(u8,35)]
[(t6,KVSMISSING)]
[(c4,KVSMISSING)]
(a5,54)
(a4,73)
(a8,58)
(a1,10)
(a2,5)
(a0,3)
(a7,51)
(a3,84)
(a9,86)
(b8,56)
(b7,52)
(b1,70)
(b9,50)
(b5,10)
(b6,16)
(b2,57)
(b3,63)
(c2,19)
(c4,87)
(c3,31)
(c5,4)
(c9,39)
(c6,36)
(c8,25)
(c7,9)
(c0,67)
(c1,70)
(d6,77)
(d1,96)
(d5,36)
(d2,77)
(d7,31)
(d4,100)
(e7,30)
(e5,48)
(e0,32)
(e9,24)
(e6,46)
(e2,10)
(e8,100)
(e1,18)
(f8,71)
(f0,18)
(f1,18)
(f3,47)
(f2,40)
(f9,75)
(f7,51)
(f4,38)
(g4,34)
(g7,63)
(g8,44)
(g3,18)
(g6,87)
(g0,84)
(g9,55)
(g5,77)
(h8,79)
(h4,38)
(h7,93)
(h6,36)
(h5,19)
(h9,94)
(h2,85)
(h0,96)
(i6,31)
(i4,77)
(i1,50)
(i7,33)
(i9,76)
(i5,36)
(j1,49)
(j0,94)
(j5,22)
(j7,42)
(j4,67)
(j8,60)
(j2,12)
(j6,77)
(k1,64)
(k5,34)
(k8,15)
(k7,78)
(k3,44)
(k0,82)
(k9,29)
(k2,50)
(k4,36)
(l2,67)
(l6,55)
(l1,10)
(l7,54)
(l8,88)
(l5,61)
(l9,41)
(l0,78)
(m3,63)
(m6,66)
(m9,16)
(m0,93)
(m8,26)
(m7,92)
(n6,7)
(n5,79)
(n9,4)
(n4,41)
(n1,75)
(o2,53)
(o4,78)
(o3,66)
(o6,55)
(o9,23)
(o5,13)
(o1,45)
(o0,93)
(p2,83)
(p4,10)
(p7,62)
(p5,71)
(p1,50)
(p3,47)
(p6,11)
(q9,79)
(q4,0)
(q2,29)
(q3,34)
(q1,99)
(q0,5)
(q6,42)
(q5,59)
(q7,3)
(r8,19)
(r4,45)
(r3,68)
(r1,83)
(r7,37)
(r6,87)
(r5,94)
(r9,10)
(r0,55)
(r2,34)
(s0,32)
(s1,69)
(s9,15)
(s3,37)
(s8,10)
(s6,63)
(s4,38)
(t7,6)
(t2,11)
(t8,10)
(t4,37)
(t9,11)
(t0,44)
(t5,53)
(u9,22)
(u1,30)
(u7,90)
(u6,32)
(u5,31)
(u0,53)
(u2,97)
(u8,35)
(v9,62)
(v1,44)
(v3,99)
(v7,23)
(v2,28)
(v6,29)
(v4,76)
(v0,11)
(v5,30)
(w0,23)
(w1,73)
(w2,6)
(w7,3)
(w9,61)
(x5,40)
(x3,23)
(x1,15)
(x6,27)
(x7,43)
(x8,48)
(x4,1)
(x9,45)
(x2,91)
(y1,53)
(y0,60)
(y8,0)
(y3,20)
(y6,55)
(y4,96)
(y9,33)
(y7,77)
(y2,7)
(z0,7)
(z4,87)
(z8,28)
(z1,47)
(z7,16)
(z3,82)
(z6,11)
(z9,91)
[(u8,35)]
Waiting...
[(d7,11)]
Waiting...
[(f9,KVSERROR)]
[(a8,KVSMISSING)]
(a0,2)
(a6,1)
(a3,20)
(a1,45)
(a4,34)
(a2,95)
(b2,100)
(b1,48)
(b4,85)
(b3,23)
(b6,8)
(b7,70)
(b0,47)
(b5,61)
(c6,65)
(c5,0)
(c0,52)
(c7,41)
(c4,18)
(c1,94)
(c3,73)
(c8,71)
(d2,0)
(d1,96)
(d9,80)
(d7,4)
(d4,90)
(d3,74)
(d6,17)
(d5,52)
(e4,22)
(e8,32)
(e0,10)
(e7,29)
(e3,90)
(e5,45)
(e1,38)
(f1,20)
(f7,99)
(f6,54)
(f0,6)
(f2,19)
(f8,7)
(f3,21)
(f4,29)
(g8,53)
(g2,17)
(g5,67)
(g3,40)
(g9,62)
(g1,68)
(g7,0)
(h4,90)
(h6,86)
(h7,20)
(h1,40)
(h0,44)
(h2,0)
(i7,48)
(i6,61)
(i3,67)
(i5,1)
(i0,84)
(i2,3)
(i1,8)
(i9,36)
(j9,75)
(j7,72)
(j0,53)
(j6,25)
(j2,89)
(j3,53)
(j4,56)
(k2,29)
(k0,49)
(k4,90)
(k7,8)
(k3,15)
(k5,31)
(k6,11)
(k8,38)
(l5,14)
(l4,69)
(l6,91)
(l0,82)
(l1,8)
(m3,8)
(m4,71)
(m1,61)
(m8,79)
(m0,97)
(n4,98)
(n1,2)
(n3,24)
(n9,52)
(n7,34)
(n2,91)
(n6,80)
(n0,96)
(n5,39)
(n8,50)
(o9,51)
(o6,31)
(o0,54)
(o8,0)
(o3,11)
(p5,21)
(p4,59)
(p6,14)
(p8,11)
(p2,22)
(p3,16)
(p0,79)
(p1,60)
(q7,61)
(q9,2)
(q1,42)
(q0,17)
(q4,32)
(q8,0)
(q2,28)
(q5,90)
(r2,21)
(r9,77)
(r7,56)
(r3,44)
(r6,37)
(r4,4)
(r0,84)
(r5,6)
(s7,88)
(s8,81)
(s2,52)
(s6,49)
(s5,44)
(s3,39)
(s1,41)
(s9,20)
(s4,62)
(t5,8)
(t1,27)
(t4,82)
(t8,56)
(t7,37)
(t9,100)
(t3,68)
(u5,56)
(u4,76)
(u8,16)
(u0,55)
(u7,75)
(u6,98)
(u3,24)
(u9,73)
(v9,23)
(v6,66)
(v1,47)
(v0,76)
(v8,100)
(v5,81)
(w9,82)
(w4,90)
(w5,36)
(w7,86)
(w8,57)
(w0,98)
(w2,17)
(x8,26)
(x4,51)
(x1,15)
(x0,61)
(x5,88)
(x3,91)
(y6,9)
(y2,84)
(y5,41)
(y3,64)
(y7,97)
(y8,93)
(y4,78)
(z8,67)
(z1,45)
(z5,48)
(z0,45)
[(c4,18)]
(a7,28)
(a0,2)
(a6,35)
(a3,20)
(a1,45)
(a4,34)
(a2,95)
(b2,100)
(b1,48)
(b4,85)
(b3,23)
(b6,8)
(b7,70)
(b0,47)
(b5,61)
(c6,65)
(c5,0)
(c0,52)
(c7,41)
(c4,18)
(c1,94)
(c3,73)
(c8,71)
(d2,0)
(d1,96)
(d9,80)
(d7,4)
(d4,90)
(d3,74)
(d6,17)
(d5,52)
(e4,22)
(e8,32)
(e0,10)
(e7,29)
(e3,90)
(e5,45)
(e1,38)
(f1,20)
(f7,99)
(f6,54)
(f0,6)
(f2,19)
(f8,7)
(f3,21)
(f4,29)
(g8,53)
(g2,17)
(g5,67)
(g3,40)
(g9,62)
(g1,68)
(g7,0)
(h4,90)
(h6,86)
(h7,20)
(h1,40)
(h0,44)
(h2,0)
(i7,48)
(i6,61)
(i3,36)
(i5,68)
(i0,84)
(i2,3)
(i1,8)
(i9,36)
(j9,75)
(j7,72)
(j0,53)
(j6,25)
(j2,89)
(j3,53)
(j4,56)
(k2,29)
(k0,49)
(k4,90)
(k7,8)
(k3,15)
(k5,31)
(k6,11)
(k8,38)
(l5,14)
(l4,69)
(l6,91)
(l0,82)
(l1,8)
(m3,8)
(m4,71)
(m1,61)
(m8,79)
(m0,97)
(n4,98)
(n1,2)
(n3,24)
(n9,52)
(n7,34)
(n2,91)
(n6,80)
(n0,96)
(n5,39)
(n8,50)
(o9,51)
(o6,31)
(o0,54)
(o8,0)
(o3,11)
(p5,21)
(p4,59)
(p6,14)
(p8,11)
(p2,22)
(p3,16)
(p0,79)
(p1,60)
(q7,61)
(q9,2)
(q1,42)
(q0,17)
(q4,32)
(q8,0)
(q2,28)
(q5,90)
(r2,21)
(r9,77)
(r7,56)
(r3,44)
(r6,37)
(r4,4)
(r0,84)
(r5,6)
(s7,88)
(s8,81)
(s2,52)
(s6,49)
(s5,44)
(s3,39)
(s1,41)
(s9,20)
(s4,62)
(t5,8)
(t1,27)
(t4,82)
(t8,56)
(t7,37)
(t9,100)
(t3,68)
(u5,56)
(u4,76)
(u8,16)
(u0,55)
(u7,75)
(u6,98)
(u3,24)
(u9,73)
(v9,23)
(v6,66)
(v1,72)
(v0,76)
(v8,100)
(v5,81)
(w9,44)
(w4,90)
(w5,36)
(w7,86)
(w8,57)
(w0,98)
(w2,17)
(x8,26)
(x4,51)
(x1,15)
(x0,61)
(x5,88)
(x3,91)
(y1,83)
(y6,40)
(y2,84)
(y5,41)
(y3,64)
(y7,97)
(y8,93)
(y4,78)
(z9,64)
(z8,67)
(z1,45)
(z5,48)
(z0,45)
[(f9,KVSMISSING)]
[(x2,KVSERROR)]
[(y5,41)]
[(y5,41)]
[(k7,8)]
[(p8,11)]
