[(h2,0)]
(a5,59)
(a0,43)
(a8,98)
(a7,36)
(a3,38)
(a9,88)
(b9,23)
(b5,92)
(b6,87)
(b2,91)
(b1,62)
(b4,27)
(b3,63)
(c5,52)
(c9,66)
(c6,90)
(c3,98)
(c4,85)
(c8,67)
(c7,14)
(c0,93)
(c1,87)
(c2,69)
(d8,46)
(d9,51)
(d6,78)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,78)
(d5,22)
(d4,57)
(e2,35)
(e3,14)
(e8,87)
(e9,60)
(e1,78)
(e7,88)
(e6,91)
(e4,34)
(f1,12)
(f3,23)
(f5,40)
(f0,31)
(f2,4)
(f6,84)
(f9,8)
(f7,77)
(f4,38)
(g6,75)
(g2,96)
(g0,55)
(g4,3)
(g9,20)
(g7,82)
(g3,41)
(g1,28)
(g5,47)
(h1,7)
(h7,95)
(h6,75)
(h5,74)
(h9,3)
(h2,0)
(h0,93)
(i9,74)
(i6,51)
(i3,11)
(i1,95)
(i5,43)
(i4,40)
(i2,48)
(i0,6)
(j5,53)
(j7,26)
(j4,0)
(j8,44)
(j2,12)
(j6,11)
(k6,30)
(k1,17)
(k0,39)
(k5,30)
(k9,7)
(k2,39)
(k4,3)
(l1,40)
(l8,67)
(l3,64)
(l4,51)
(l5,3)
(l9,28)
(l0,31)
(l7,52)
(m6,15)
(m2,100)
(m9,91)
(m1,57)
(m0,70)
(m4,57)
(m8,68)
(m7,88)
(m3,41)
(n7,80)
(n4,24)
(n9,84)
(n0,23)
(n1,62)
(n3,90)
(o4,78)
(o3,80)
(o6,87)
(o9,87)
(o5,79)
(o7,18)
(o1,36)
(o0,47)
(o2,76)
(p2,48)
(p3,16)
(p7,88)
(p8,39)
(p6,100)
(p5,67)
(q0,98)
(q6,80)
(q5,26)
(q3,47)
(q7,4)
(q4,1)
(q8,74)
(q9,48)
(q2,87)
(r9,8)
(r1,21)
(r4,34)
(r3,14)
(r0,55)
(r2,0)
(s5,88)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,38)
(t0,54)
(t5,48)
(t7,62)
(t6,92)
(t3,35)
(t1,96)
(t8,0)
(u7,92)
(u6,76)
(u5,79)
(u0,99)
(u2,65)
(u9,11)
(u8,95)
(v8,3)
(v7,19)
(v9,11)
(v2,9)
(v1,79)
(v6,10)
(v4,14)
(v0,40)
(v5,30)
(w0,77)
(w1,22)
(w6,44)
(w7,46)
(w5,60)
(w2,26)
(w9,99)
(x7,25)
(x5,78)
(x1,35)
(x3,42)
(x8,2)
(x6,24)
(x4,8)
(x9,90)
(x2,28)
(y6,3)
(y4,38)
(y9,100)
(y7,39)
(y8,76)
(y5,28)
(y1,95)
(y2,5)
(z0,44)
(z8,11)
(z4,50)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
(a4,43)
(a2,48)
(a5,59)
(a0,43)
(a8,98)
(a7,36)
(a3,38)
(a9,88)
(b9,23)
(b5,92)
(b6,87)
(b2,91)
(b1,62)
(b4,27)
(b3,63)
(c5,52)
(c9,66)
(c6,90)
(c3,98)
(c4,85)
(c8,67)
(c7,14)
(c0,93)
(c1,87)
(c2,69)
(d8,46)
(d9,51)
(d6,78)
(d0,44)
(d3,8)
(d2,3)
(d7,60)
(d1,78)
(d5,22)
(d4,57)
(e2,35)
(e3,14)
(e8,87)
(e9,60)
(e1,78)
(e7,88)
(e6,91)
(e4,34)
(f1,12)
(f3,23)
(f5,40)
(f0,31)
(f2,4)
(f6,84)
(f9,8)
(f7,77)
(f4,38)
(g6,75)
(g2,96)
(g0,55)
(g4,3)
(g9,20)
(g7,82)
(g3,41)
(g1,28)
(g5,47)
(h1,7)
(h7,95)
(h6,75)
(h5,74)
(h9,3)
(h2,0)
(h0,93)
(i9,74)
(i6,51)
(i3,11)
(i1,95)
(i5,43)
(i4,40)
(i2,48)
(i0,6)
(j5,53)
(j7,26)
(j4,0)
(j8,44)
(j2,12)
(j6,11)
(k6,30)
(k1,17)
(k0,39)
(k5,30)
(k9,7)
(k2,39)
(k4,3)
(l1,40)
(l8,67)
(l3,64)
(l4,51)
(l5,3)
(l9,28)
(l0,31)
(l7,52)
(m6,15)
(m2,100)
(m9,91)
(m1,57)
(m0,70)
(m4,57)
(m8,68)
(m7,88)
(m3,41)
(n7,80)
(n4,24)
(n9,84)
(n0,23)
(n1,62)
(n3,90)
(o4,78)
(o3,80)
(o6,87)
(o9,87)
(o5,79)
(o7,18)
(o1,36)
(o0,47)
(o2,76)
(p2,48)
(p3,16)
(p7,88)
(p8,39)
(p6,100)
(p5,67)
(q0,98)
(q6,80)
(q5,26)
(q3,47)
(q7,4)
(q4,1)
(q8,74)
(q9,48)
(q2,87)
(r9,8)
(r1,21)
(r4,34)
(r3,14)
(r0,55)
(r2,0)
(s5,88)
(s3,4)
(s2,17)
(s8,67)
(s6,100)
(s0,16)
(s7,56)
(s4,82)
(s1,38)
(t0,54)
(t5,48)
(t7,62)
(t6,92)
(t3,35)
(t1,96)
(t8,0)
(u7,92)
(u6,76)
(u5,79)
(u0,99)
(u2,65)
(u9,11)
(u8,95)
(v8,3)
(v7,19)
(v9,11)
(v2,9)
(v1,79)
(v6,10)
(v4,14)
(v0,40)
(v5,30)
(w0,77)
(w1,22)
(w6,44)
(w7,46)
(w5,60)
(w2,26)
(w9,99)
(x7,25)
(x5,78)
(x1,35)
(x3,42)
(x8,2)
(x6,24)
(x4,8)
(x9,90)
(x2,28)
(y6,3)
(y4,38)
(y9,100)
(y7,39)
(y8,76)
(y5,28)
(y1,95)
(y2,5)
(z0,44)
(z8,11)
(z4,50)
(z7,15)
(z3,34)
(z6,12)
(z5,85)
(z2,88)
(z9,25)
Waiting...
(a5,10)
(a9,9)
(a4,31)
(a8,58)
(a1,33)
(a7,51)
(a3,99)
(b4,22)
(b8,46)
(b7,55)
(b1,28)
(b5,10)
(b3,13)
(c2,3)
(c4,87)
(c3,43)
(c5,60)
(c9,39)
(c6,46)
(c8,59)
(c7,44)
(c0,100)
(c1,70)
(d8,97)
(d9,38)
(d6,77)
(d1,96)
(d5,39)
(d2,77)
(d7,91)
(d4,77)
(e1,76)
(e9,23)
(e3,38)
(e7,55)
(e5,66)
(e0,22)
(e2,10)
(e8,81)
(f8,60)
(f5,72)
(f1,4)
(f3,47)
(f2,12)
(f9,78)
(f7,7)
(f4,99)
(g4,91)
(g2,2)
(g5,69)
(g8,66)
(g3,22)
(g0,33)
(g9,8)
(h6,47)
(h8,72)
(h7,22)
(h5,78)
(h9,80)
(h2,85)
(i2,13)
(i0,40)
(i7,74)
(i8,91)
(i1,54)
(i9,2)
(i5,50)
(j3,81)
(j9,41)
(j1,85)
(j0,79)
(j5,79)
(j7,53)
(j4,71)
(j8,61)
(j2,98)
(k6,72)
(k0,78)
(k1,99)
(k5,34)
(k8,39)
(k7,45)
(k3,5)
(k9,99)
(k4,64)
(l2,71)
(l0,82)
(l4,65)
(l9,83)
(l3,21)
(l6,93)
(l1,10)
(l8,88)
(l5,91)
(m5,100)
(m7,56)
(m4,29)
(m3,75)
(m6,11)
(m9,47)
(m0,93)
(m8,92)
(n1,63)
(n3,78)
(n7,44)
(n8,87)
(n9,99)
(o3,15)
(o4,6)
(o7,15)
(o8,69)
(o2,8)
(o6,10)
(o5,13)
(o0,19)
(p4,22)
(p0,70)
(p1,3)
(p7,10)
(p5,34)
(p3,24)
(q8,92)
(q6,21)
(q7,47)
(q9,12)
(q4,49)
(q2,70)
(q0,5)
(q5,14)
(r0,93)
(r8,19)
(r3,68)
(r1,27)
(r7,71)
(r5,41)
(r9,77)
(s7,91)
(s1,92)
(s5,59)
(s0,96)
(s3,13)
(s6,95)
(s4,43)
(t1,44)
(t8,4)
(t2,69)
(t4,86)
(t9,62)
(t5,26)
(u4,55)
(u5,29)
(u3,88)
(u9,56)
(u1,18)
(u7,68)
(u6,32)
(u0,10)
(u2,60)
(u8,4)
(v7,97)
(v9,46)
(v1,71)
(v6,51)
(v4,14)
(v0,28)
(v5,2)
(w6,0)
(w5,93)
(w4,88)
(w0,23)
(w1,94)
(w2,58)
(w9,86)
(x5,98)
(x9,59)
(x0,20)
(x3,17)
(x1,49)
(x6,27)
(x8,48)
(x4,1)
(x2,1)
(y0,31)
(y6,38)
(y1,53)
(y8,69)
(y3,23)
(y4,96)
(y9,60)
(y7,17)
(y2,7)
(z8,70)
(z4,2)
(z3,80)
(z2,49)
(z0,18)
(z7,93)
(z9,72)
[(t0,KVSMISSING)]
[(a1,KVSERROR)]
[(u5,26)]
[(z0,22)]
[(k3,KVSMISSING)]
[(z3,57)]
[(b8,87)]
Waiting...
Waiting...
